rt,response,trial_type,trial_index,time_elapsed,internal_node_id,condition,correct,stimulus,success,timeout,failed_images,failed_audio,failed_video,question_order,accuracy,participant_id,ctime
6788,"{""Q0"":""Jessica""}",survey-text,0,6801,0.0-0.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who took the subway to work before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who is a climate activist, took the subway to work <b>BEFORE</b> he got promoted. Mike's assistant tells him:"",""utterance"":""Charley didn't stop taking the subway to work when he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Charley took the subway to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley took the subway to work after he got promoted?"",""qud"":""ai"",""prior"":""higher"",""content"":""subway"",""image"":""subway-stop-ai""}",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,580f6702-0ff5-49b5-a8ad-bc923cd3d491,2025-11-17 13:13:07 CET
1293,0,html-button-response,1,8096,0.0-0.0-3.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who took the subway to work before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who is a climate activist, took the subway to work <b>BEFORE</b> he got promoted. Mike's assistant tells him:"",""utterance"":""Charley didn't stop taking the subway to work when he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Charley took the subway to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley took the subway to work after he got promoted?"",""qud"":""ai"",""prior"":""higher"",""content"":""subway"",""image"":""subway-stop-ai""}",NA,<p style='text-align:left'><b> Correct response! You are a human :) </b><br><br></p>,NA,NA,NA,NA,NA,NA,NA,580f6702-0ff5-49b5-a8ad-bc923cd3d491,2025-11-17 13:13:07 CET
NA,NA,preload,2,8831,0.0-1.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who took the subway to work before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who is a climate activist, took the subway to work <b>BEFORE</b> he got promoted. Mike's assistant tells him:"",""utterance"":""Charley didn't stop taking the subway to work when he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Charley took the subway to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley took the subway to work after he got promoted?"",""qud"":""ai"",""prior"":""higher"",""content"":""subway"",""image"":""subway-stop-ai""}",NA,NA,TRUE,FALSE,[],[],[],NA,NA,580f6702-0ff5-49b5-a8ad-bc923cd3d491,2025-11-17 13:13:07 CET
5449,0,html-button-response,3,14281,0.0-2.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who took the subway to work before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who is a climate activist, took the subway to work <b>BEFORE</b> he got promoted. Mike's assistant tells him:"",""utterance"":""Charley didn't stop taking the subway to work when he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Charley took the subway to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley took the subway to work after he got promoted?"",""qud"":""ai"",""prior"":""higher"",""content"":""subway"",""image"":""subway-stop-ai""}",NA,"<h3>Instructions</h3>  <div style='width:500px';> In this experiment, you will read a short text. We will ask you two questions about what you have read. You will give your responses on a slider. <br><br> At the end of the experiment, we will ask you some demographic questions. The experiment will take less than three minutes.<br><br> By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.<br><br></div>",NA,NA,NA,NA,NA,NA,NA,580f6702-0ff5-49b5-a8ad-bc923cd3d491,2025-11-17 13:13:07 CET
48753.60000002384,"{""stimFIRST"":95,""stimSECOND"":95}",multiple-slider,4,63036,0.0-3.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who took the subway to work before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who is a climate activist, took the subway to work <b>BEFORE</b> he got promoted. Mike's assistant tells him:"",""utterance"":""Charley didn't stop taking the subway to work when he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Charley took the subway to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley took the subway to work after he got promoted?"",""qud"":""ai"",""prior"":""higher"",""content"":""subway"",""image"":""subway-stop-ai""}",NA,NA,NA,NA,NA,NA,NA,"[0,1]",NA,580f6702-0ff5-49b5-a8ad-bc923cd3d491,2025-11-17 13:13:07 CET
12879,"{""P0_Q0"":null,""age"":""30"",""gender"":""female"",""language"":""yes"",""amE"":""yes"",""edu"":""graduated college"",""comments"":""""}",survey,5,75957,0.0-4.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who took the subway to work before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who is a climate activist, took the subway to work <b>BEFORE</b> he got promoted. Mike's assistant tells him:"",""utterance"":""Charley didn't stop taking the subway to work when he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Charley took the subway to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley took the subway to work after he got promoted?"",""qud"":""ai"",""prior"":""higher"",""content"":""subway"",""image"":""subway-stop-ai""}",NA,NA,NA,NA,NA,NA,NA,NA,[],580f6702-0ff5-49b5-a8ad-bc923cd3d491,2025-11-17 13:13:07 CET
6056,"{""Q0"":""Jessica""}",survey-text,0,6093,0.0-0.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who took the subway to work after they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who is a climate activist, took the subway to work <b>AFTER</b> he got promoted. Mike's assistant tells him:"",""utterance"":""Charley didn't stop taking the subway to work when he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Charley took the subway to work after he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley took the subway to work before he got promoted?"",""qud"":""nai"",""prior"":""higher"",""content"":""subway"",""image"":""subway-stop-nai""}",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,23e4c30f-6af7-4b28-9beb-b222a239d412,2025-11-17 13:13:42 CET
923,0,html-button-response,1,7020,0.0-0.0-3.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who took the subway to work after they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who is a climate activist, took the subway to work <b>AFTER</b> he got promoted. Mike's assistant tells him:"",""utterance"":""Charley didn't stop taking the subway to work when he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Charley took the subway to work after he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley took the subway to work before he got promoted?"",""qud"":""nai"",""prior"":""higher"",""content"":""subway"",""image"":""subway-stop-nai""}",NA,<p style='text-align:left'><b> Correct response! You are a human :) </b><br><br></p>,NA,NA,NA,NA,NA,NA,NA,23e4c30f-6af7-4b28-9beb-b222a239d412,2025-11-17 13:13:42 CET
NA,NA,preload,2,7773,0.0-1.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who took the subway to work after they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who is a climate activist, took the subway to work <b>AFTER</b> he got promoted. Mike's assistant tells him:"",""utterance"":""Charley didn't stop taking the subway to work when he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Charley took the subway to work after he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley took the subway to work before he got promoted?"",""qud"":""nai"",""prior"":""higher"",""content"":""subway"",""image"":""subway-stop-nai""}",NA,NA,TRUE,FALSE,[],[],[],NA,NA,23e4c30f-6af7-4b28-9beb-b222a239d412,2025-11-17 13:13:42 CET
2046,0,html-button-response,3,9820,0.0-2.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who took the subway to work after they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who is a climate activist, took the subway to work <b>AFTER</b> he got promoted. Mike's assistant tells him:"",""utterance"":""Charley didn't stop taking the subway to work when he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Charley took the subway to work after he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley took the subway to work before he got promoted?"",""qud"":""nai"",""prior"":""higher"",""content"":""subway"",""image"":""subway-stop-nai""}",NA,"<h3>Instructions</h3>  <div style='width:500px';> In this experiment, you will read a short text. We will ask you two questions about what you have read. You will give your responses on a slider. <br><br> At the end of the experiment, we will ask you some demographic questions. The experiment will take less than three minutes.<br><br> By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.<br><br></div>",NA,NA,NA,NA,NA,NA,NA,23e4c30f-6af7-4b28-9beb-b222a239d412,2025-11-17 13:13:42 CET
55505.59999996424,"{""stimFIRST"":100,""stimSECOND"":100}",multiple-slider,4,65330,0.0-3.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who took the subway to work after they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who is a climate activist, took the subway to work <b>AFTER</b> he got promoted. Mike's assistant tells him:"",""utterance"":""Charley didn't stop taking the subway to work when he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Charley took the subway to work after he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley took the subway to work before he got promoted?"",""qud"":""nai"",""prior"":""higher"",""content"":""subway"",""image"":""subway-stop-nai""}",NA,NA,NA,NA,NA,NA,NA,"[0,1]",NA,23e4c30f-6af7-4b28-9beb-b222a239d412,2025-11-17 13:13:42 CET
14786,"{""P0_Q0"":null,""age"":""47"",""gender"":""male"",""language"":""yes"",""amE"":""yes"",""edu"":""graduated college"",""comments"":""nope""}",survey,5,80191,0.0-4.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who took the subway to work after they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who is a climate activist, took the subway to work <b>AFTER</b> he got promoted. Mike's assistant tells him:"",""utterance"":""Charley didn't stop taking the subway to work when he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Charley took the subway to work after he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley took the subway to work before he got promoted?"",""qud"":""nai"",""prior"":""higher"",""content"":""subway"",""image"":""subway-stop-nai""}",NA,NA,NA,NA,NA,NA,NA,NA,[],23e4c30f-6af7-4b28-9beb-b222a239d412,2025-11-17 13:13:42 CET
9727,"{""Q0"":""Elizabeth""}",survey-text,0,9776,0.0-0.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is trying to figure out how well the five department heads &mdash; Kate, Tom, Sue, Tatiana, and Ricardo &mdash; know the commuting habits of the head of HR, Charley. Mike keeps track on this list:"",""contextPart2"":""Next up, Mike wants to record in his list whether <b>SUE</b> believes that Charley, who lives five blocks away from work, biked to work before he got promoted. Mike's assistant asks him:"",""utterance"":""Does Sue know that Charley biked to work before he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Sue believes that Charley biked to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley biked to work before he got promoted?"",""qud"":""nai"",""prior"":""higher"",""content"":""bike"",""image"":""bike-know-nai""}",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,210d2c50-e183-4f28-a1fc-b503d5baa8ef,2025-11-17 13:14:18 CET
2330,0,html-button-response,1,12108,0.0-0.0-3.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is trying to figure out how well the five department heads &mdash; Kate, Tom, Sue, Tatiana, and Ricardo &mdash; know the commuting habits of the head of HR, Charley. Mike keeps track on this list:"",""contextPart2"":""Next up, Mike wants to record in his list whether <b>SUE</b> believes that Charley, who lives five blocks away from work, biked to work before he got promoted. Mike's assistant asks him:"",""utterance"":""Does Sue know that Charley biked to work before he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Sue believes that Charley biked to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley biked to work before he got promoted?"",""qud"":""nai"",""prior"":""higher"",""content"":""bike"",""image"":""bike-know-nai""}",NA,<p style='text-align:left'><b> Correct response! You are a human :) </b><br><br></p>,NA,NA,NA,NA,NA,NA,NA,210d2c50-e183-4f28-a1fc-b503d5baa8ef,2025-11-17 13:14:18 CET
NA,NA,preload,2,12834,0.0-1.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is trying to figure out how well the five department heads &mdash; Kate, Tom, Sue, Tatiana, and Ricardo &mdash; know the commuting habits of the head of HR, Charley. Mike keeps track on this list:"",""contextPart2"":""Next up, Mike wants to record in his list whether <b>SUE</b> believes that Charley, who lives five blocks away from work, biked to work before he got promoted. Mike's assistant asks him:"",""utterance"":""Does Sue know that Charley biked to work before he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Sue believes that Charley biked to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley biked to work before he got promoted?"",""qud"":""nai"",""prior"":""higher"",""content"":""bike"",""image"":""bike-know-nai""}",NA,NA,TRUE,FALSE,[],[],[],NA,NA,210d2c50-e183-4f28-a1fc-b503d5baa8ef,2025-11-17 13:14:18 CET
12318,0,html-button-response,3,25151,0.0-2.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is trying to figure out how well the five department heads &mdash; Kate, Tom, Sue, Tatiana, and Ricardo &mdash; know the commuting habits of the head of HR, Charley. Mike keeps track on this list:"",""contextPart2"":""Next up, Mike wants to record in his list whether <b>SUE</b> believes that Charley, who lives five blocks away from work, biked to work before he got promoted. Mike's assistant asks him:"",""utterance"":""Does Sue know that Charley biked to work before he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Sue believes that Charley biked to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley biked to work before he got promoted?"",""qud"":""nai"",""prior"":""higher"",""content"":""bike"",""image"":""bike-know-nai""}",NA,"<h3>Instructions</h3>  <div style='width:500px';> In this experiment, you will read a short text. We will ask you two questions about what you have read. You will give your responses on a slider. <br><br> At the end of the experiment, we will ask you some demographic questions. The experiment will take less than three minutes.<br><br> By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.<br><br></div>",NA,NA,NA,NA,NA,NA,NA,210d2c50-e183-4f28-a1fc-b503d5baa8ef,2025-11-17 13:14:18 CET
67369,"{""stimFIRST"":51,""stimSECOND"":65}",multiple-slider,4,92522,0.0-3.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is trying to figure out how well the five department heads &mdash; Kate, Tom, Sue, Tatiana, and Ricardo &mdash; know the commuting habits of the head of HR, Charley. Mike keeps track on this list:"",""contextPart2"":""Next up, Mike wants to record in his list whether <b>SUE</b> believes that Charley, who lives five blocks away from work, biked to work before he got promoted. Mike's assistant asks him:"",""utterance"":""Does Sue know that Charley biked to work before he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Sue believes that Charley biked to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley biked to work before he got promoted?"",""qud"":""nai"",""prior"":""higher"",""content"":""bike"",""image"":""bike-know-nai""}",NA,NA,NA,NA,NA,NA,NA,"[0,1]",NA,210d2c50-e183-4f28-a1fc-b503d5baa8ef,2025-11-17 13:14:18 CET
19545,"{""P0_Q0"":null,""age"":""40"",""gender"":""male"",""language"":""yes"",""amE"":""yes"",""edu"":""graduated high school"",""comments"":""""}",survey,5,112119,0.0-4.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is trying to figure out how well the five department heads &mdash; Kate, Tom, Sue, Tatiana, and Ricardo &mdash; know the commuting habits of the head of HR, Charley. Mike keeps track on this list:"",""contextPart2"":""Next up, Mike wants to record in his list whether <b>SUE</b> believes that Charley, who lives five blocks away from work, biked to work before he got promoted. Mike's assistant asks him:"",""utterance"":""Does Sue know that Charley biked to work before he got promoted?"",""questionFIRST"":""Given what you have read above, how likely is it that Sue believes that Charley biked to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley biked to work before he got promoted?"",""qud"":""nai"",""prior"":""higher"",""content"":""bike"",""image"":""bike-know-nai""}",NA,NA,NA,NA,NA,NA,NA,NA,[],210d2c50-e183-4f28-a1fc-b503d5baa8ef,2025-11-17 13:14:18 CET
8895,"{""Q0"":""Mary""}",survey-text,0,8905,0.0-0.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is trying to figure out how well the five department heads &mdash; Kate, Tom, Sue, Tatiana, and Ricardo &mdash; know the commuting habits of the head of HR, Charley. Mike keeps track on this list:"",""contextPart2"":""Next up, Mike wants to record in his list whether <b>SUE</b> believes that Charley, who lives twenty miles away from work, biked to work before he got promoted. Mike's assistant tells him:"",""utterance"":""Sue doesn't know that Charley biked to work before he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Sue believes that Charley biked to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley biked to work before he got promoted?"",""qud"":""nai"",""prior"":""lower"",""content"":""bike"",""image"":""bike-know-nai""}",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,ae10400e-6ee3-4a23-aa67-90925607f129,2025-11-17 13:14:55 CET
2964,0,html-button-response,1,11870,0.0-0.0-3.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is trying to figure out how well the five department heads &mdash; Kate, Tom, Sue, Tatiana, and Ricardo &mdash; know the commuting habits of the head of HR, Charley. Mike keeps track on this list:"",""contextPart2"":""Next up, Mike wants to record in his list whether <b>SUE</b> believes that Charley, who lives twenty miles away from work, biked to work before he got promoted. Mike's assistant tells him:"",""utterance"":""Sue doesn't know that Charley biked to work before he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Sue believes that Charley biked to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley biked to work before he got promoted?"",""qud"":""nai"",""prior"":""lower"",""content"":""bike"",""image"":""bike-know-nai""}",NA,<p style='text-align:left'><b> Correct response! You are a human :) </b><br><br></p>,NA,NA,NA,NA,NA,NA,NA,ae10400e-6ee3-4a23-aa67-90925607f129,2025-11-17 13:14:55 CET
NA,NA,preload,2,13024,0.0-1.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is trying to figure out how well the five department heads &mdash; Kate, Tom, Sue, Tatiana, and Ricardo &mdash; know the commuting habits of the head of HR, Charley. Mike keeps track on this list:"",""contextPart2"":""Next up, Mike wants to record in his list whether <b>SUE</b> believes that Charley, who lives twenty miles away from work, biked to work before he got promoted. Mike's assistant tells him:"",""utterance"":""Sue doesn't know that Charley biked to work before he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Sue believes that Charley biked to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley biked to work before he got promoted?"",""qud"":""nai"",""prior"":""lower"",""content"":""bike"",""image"":""bike-know-nai""}",NA,NA,TRUE,FALSE,[],[],[],NA,NA,ae10400e-6ee3-4a23-aa67-90925607f129,2025-11-17 13:14:55 CET
15064,0,html-button-response,3,28088,0.0-2.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is trying to figure out how well the five department heads &mdash; Kate, Tom, Sue, Tatiana, and Ricardo &mdash; know the commuting habits of the head of HR, Charley. Mike keeps track on this list:"",""contextPart2"":""Next up, Mike wants to record in his list whether <b>SUE</b> believes that Charley, who lives twenty miles away from work, biked to work before he got promoted. Mike's assistant tells him:"",""utterance"":""Sue doesn't know that Charley biked to work before he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Sue believes that Charley biked to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley biked to work before he got promoted?"",""qud"":""nai"",""prior"":""lower"",""content"":""bike"",""image"":""bike-know-nai""}",NA,"<h3>Instructions</h3>  <div style='width:500px';> In this experiment, you will read a short text. We will ask you two questions about what you have read. You will give your responses on a slider. <br><br> At the end of the experiment, we will ask you some demographic questions. The experiment will take less than three minutes.<br><br> By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.<br><br></div>",NA,NA,NA,NA,NA,NA,NA,ae10400e-6ee3-4a23-aa67-90925607f129,2025-11-17 13:14:55 CET
98115.89999997616,"{""stimFIRST"":100,""stimSECOND"":100}",multiple-slider,4,126206,0.0-3.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is trying to figure out how well the five department heads &mdash; Kate, Tom, Sue, Tatiana, and Ricardo &mdash; know the commuting habits of the head of HR, Charley. Mike keeps track on this list:"",""contextPart2"":""Next up, Mike wants to record in his list whether <b>SUE</b> believes that Charley, who lives twenty miles away from work, biked to work before he got promoted. Mike's assistant tells him:"",""utterance"":""Sue doesn't know that Charley biked to work before he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Sue believes that Charley biked to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley biked to work before he got promoted?"",""qud"":""nai"",""prior"":""lower"",""content"":""bike"",""image"":""bike-know-nai""}",NA,NA,NA,NA,NA,NA,NA,"[0,1]",NA,ae10400e-6ee3-4a23-aa67-90925607f129,2025-11-17 13:14:55 CET
83576,"{""P0_Q0"":null,""age"":""59"",""gender"":""male"",""language"":""yes"",""amE"":""yes"",""edu"":""some college"",""comments"":""This was an interesting study. Thank you for the opportunity.""}",survey,5,209820,0.0-4.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is trying to figure out how well the five department heads &mdash; Kate, Tom, Sue, Tatiana, and Ricardo &mdash; know the commuting habits of the head of HR, Charley. Mike keeps track on this list:"",""contextPart2"":""Next up, Mike wants to record in his list whether <b>SUE</b> believes that Charley, who lives twenty miles away from work, biked to work before he got promoted. Mike's assistant tells him:"",""utterance"":""Sue doesn't know that Charley biked to work before he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Sue believes that Charley biked to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley biked to work before he got promoted?"",""qud"":""nai"",""prior"":""lower"",""content"":""bike"",""image"":""bike-know-nai""}",NA,NA,NA,NA,NA,NA,NA,NA,[],ae10400e-6ee3-4a23-aa67-90925607f129,2025-11-17 13:14:55 CET
13351,"{""Q0"":""Mary""}",survey-text,0,13369,0.0-0.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who took the subway to work before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who is a germaphobe, took the subway to work <b>BEFORE</b> he got promoted. Mike's assistant tells him:"",""utterance"":""Charley didn't stop taking the subway to work when he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Charley took the subway to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley took the subway to work after he got promoted?"",""qud"":""ai"",""prior"":""lower"",""content"":""subway"",""image"":""subway-stop-ai""}",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,6beae28a-8d47-4f45-a55f-06e220fc4505,2025-11-17 13:14:56 CET
2581,0,html-button-response,1,15951,0.0-0.0-3.0-0.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who took the subway to work before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who is a germaphobe, took the subway to work <b>BEFORE</b> he got promoted. Mike's assistant tells him:"",""utterance"":""Charley didn't stop taking the subway to work when he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Charley took the subway to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley took the subway to work after he got promoted?"",""qud"":""ai"",""prior"":""lower"",""content"":""subway"",""image"":""subway-stop-ai""}",NA,<p style='text-align:left'><b> Correct response! You are a human :) </b><br><br></p>,NA,NA,NA,NA,NA,NA,NA,6beae28a-8d47-4f45-a55f-06e220fc4505,2025-11-17 13:14:56 CET
NA,NA,preload,2,16667,0.0-1.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who took the subway to work before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who is a germaphobe, took the subway to work <b>BEFORE</b> he got promoted. Mike's assistant tells him:"",""utterance"":""Charley didn't stop taking the subway to work when he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Charley took the subway to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley took the subway to work after he got promoted?"",""qud"":""ai"",""prior"":""lower"",""content"":""subway"",""image"":""subway-stop-ai""}",NA,NA,TRUE,FALSE,[],[],[],NA,NA,6beae28a-8d47-4f45-a55f-06e220fc4505,2025-11-17 13:14:56 CET
11333,0,html-button-response,3,28000,0.0-2.0,"{""contextPart1"":""Mike works as a health officer for an IT company. He is currently working through a list of employees in Sue's department that recently  got promoted &mdash; Kate, Tom, Charley, Tatiana, Ricardo &mdash; to identify who took the subway to work before they got promoted. He keeps track on this list:"",""contextPart2"":""Next up, he wants to record in the list whether Charley, who is a germaphobe, took the subway to work <b>BEFORE</b> he got promoted. Mike's assistant tells him:"",""utterance"":""Charley didn't stop taking the subway to work when he got promoted."",""questionFIRST"":""Given what you have read above, how likely is it that Charley took the subway to work before he got promoted?"",""questionSECOND"":""Given what you have read above, how likely is it that Charley took the subway to work after he got promoted?"",""qud"":""ai"",""prior"":""lower"",""content"":""subway"",""image"":""subway-stop-ai""}",NA,"<h3>Instructions</h3>  <div style='width:500px';> In this experiment, you will read a short text. We will ask you two questions about what you have read. You will give your responses on a slider. <br><br> At the end of the experiment, we will ask you some demographic questions. The experiment will take less than three minutes.<br><br> By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.<br><br></div>",NA,NA,NA,NA,NA,NA,NA,6beae28a-8d47-4f45-a55f-06e220fc4505,2025-11-17 13:14:56 CET
